timestamp_seconds,timestamp_human,quadrant,well,spot_1_x,spot_1_y,spot_1_r,spot_2_x,spot_2_y,spot_2_r
1740581614,26/02/2025 14:53:34,0,0,467,622,37,1137,602,33
1740581614,26/02/2025 14:53:34,0,1,2158,567,32,2837,545,34
1740581622,26/02/2025 14:53:42,1,0,608,439,28,1256,475,28
1740581622,26/02/2025 14:53:42,1,1,2216,497,29,2831,509,29
1740581630,26/02/2025 14:53:50,2,0,611,749,28,1431,765,47
1740581630,26/02/2025 14:53:50,2,1,2748,830,41,3582,860,42
1740581638,26/02/2025 14:53:58,3,0,715,614,34,1427,646,34
1740581638,26/02/2025 14:53:58,3,1,2565,629,40,3275,619,36
1740581614,26/02/2025 14:53:34,4,0,582,888,43,1434,897,36
1740581614,26/02/2025 14:53:34,4,1,2821,810,45,3663,854,37
1740581622,26/02/2025 14:53:42,5,0,1022,920,32,2048,969,48
1740581622,26/02/2025 14:53:42,5,1,3676,973,49,4637,991,47
1740582514,26/02/2025 15:08:34,0,0,472,623,32,1137,605,31
1740582514,26/02/2025 15:08:34,0,1,2160,565,31,2836,550,31
1740582522,26/02/2025 15:08:42,1,0,609,436,27,1250,480,28
1740582522,26/02/2025 15:08:42,1,1,2208,504,29,2825,515,30
1740582530,26/02/2025 15:08:50,2,0,603,734,29,1438,761,43
1740582530,26/02/2025 15:08:50,2,1,2746,828,45,3590,884,51
1740582538,26/02/2025 15:08:58,3,0,723,605,35,1430,645,35
1740582538,26/02/2025 15:08:58,3,1,2562,636,35,3276,620,35
1740582514,26/02/2025 15:08:34,4,0,586,887,39,1442,889,35
1740582514,26/02/2025 15:08:34,4,1,2822,809,46,3657,862,37
1740582522,26/02/2025 15:08:42,5,0,1019,925,29,2050,970,50
1740582522,26/02/2025 15:08:42,5,1,3675,972,48,4627,998,46
1740583414,26/02/2025 15:23:34,0,0,484,623,33,1136,603,32
1740583414,26/02/2025 15:23:34,0,1,2158,566,33,2839,547,32
1740583422,26/02/2025 15:23:42,1,0,609,436,27,1248,478,29
1740583422,26/02/2025 15:23:42,1,1,2207,505,28,2825,514,30
1740583431,26/02/2025 15:23:51,2,0,600,728,34,1436,767,49
1740583431,26/02/2025 15:23:51,2,1,2747,828,45,3583,874,39
1740583439,26/02/2025 15:23:59,3,0,723,607,34,1429,644,34
1740583439,26/02/2025 15:23:59,3,1,2563,632,34,3276,621,35
1740583414,26/02/2025 15:23:34,4,0,587,888,39,1441,893,37
1740583414,26/02/2025 15:23:34,4,1,2816,807,41,3658,859,37
1740583422,26/02/2025 15:23:42,5,0,1021,930,23,2050,971,51
1740583422,26/02/2025 15:23:42,5,1,3665,968,45,4630,999,47
1740584314,26/02/2025 15:38:34,0,0,484,624,32,1139,609,28
1740584314,26/02/2025 15:38:34,0,1,2158,565,32,2839,547,30
1740584322,26/02/2025 15:38:42,1,0,608,435,28,1248,480,28
1740584322,26/02/2025 15:38:42,1,1,2209,504,29,2824,515,29
1740584330,26/02/2025 15:38:50,2,0,606,740,33,1437,771,47
1740584330,26/02/2025 15:38:50,2,1,2748,834,40,3586,882,46
1740584339,26/02/2025 15:38:59,3,0,720,607,36,1428,643,36
1740584339,26/02/2025 15:38:59,3,1,2561,635,35,3276,620,34
1740584314,26/02/2025 15:38:34,4,0,583,886,38,1440,896,41
1740584314,26/02/2025 15:38:34,4,1,2821,808,44,3663,854,35
1740584322,26/02/2025 15:38:42,5,0,1014,919,27,2049,967,48
1740584322,26/02/2025 15:38:42,5,1,3665,975,39,4628,995,44
1740585214,26/02/2025 15:53:34,0,0,472,618,36,1139,598,29
1740585214,26/02/2025 15:53:34,0,1,2159,563,32,2840,549,32
1740585222,26/02/2025 15:53:42,1,0,609,437,27,1249,479,28
1740585222,26/02/2025 15:53:42,1,1,2210,503,30,2824,515,29
1740585230,26/02/2025 15:53:50,2,0,612,736,36,1444,764,41
