Pin ,Replicate,Displacement (mm),Force (mN)
1,1,0,0
1,1,0.5,0.19
1,1,1,0.46
1,1,1.5,0.59
1,1,2,0.72
1,1,2.5,0.97
1,1,3,1.19
1,1,3.5,1.32
1,1,4,1.57
2,1,0,0
2,1,0.5,0.3
2,1,1,0.57
2,1,1.5,0.83
2,1,2,1.03
2,1,2.5,1.23
2,1,3,1.45
2,1,3.5,1.66
2,1,4,1.9
3,1,0,0
3,1,0.5,0.18
3,1,1,0.42
3,1,1.5,0.59
3,1,2,0.81
3,1,2.5,1
3,1,3,1.25
3,1,3.5,1.41
3,1,4,1.49
4,1,0,0
4,1,0.5,0.24
4,1,1,0.45
4,1,1.5,0.63
4,1,2,0.86
4,1,2.5,1.2
4,1,3,1.45
4,1,3.5,1.67
4,1,4,1.81
5,1,0,0
5,1,0.5,0.19
5,1,1,0.33
5,1,1.5,0.54
5,1,2,0.79
5,1,2.5,0.93
5,1,3,1.07
5,1,3.5,1.23
5,1,4,1.5
5,2,0,0
5,2,0.5,0.2
5,2,1,0.35
5,2,1.5,0.55
5,2,2,0.69
5,2,2.5,0.89
5,2,3,1.12
5,2,3.5,1.34
5,2,4,1.46
5,3,0,0
5,3,0.5,0.19
5,3,1,0.35
5,3,1.5,0.5
5,3,2,0.65
5,3,2.5,0.82
5,3,3,0.99
5,3,3.5,1.21
5,3,4,1.4
6,1,0,0
6,1,0.5,0.21
6,1,1,0.45
6,1,1.5,0.62
6,1,2,0.84
6,1,2.5,1.07
6,1,3,1.3
6,1,3.5,1.58
6,1,4,1.84
7,1,0,0
7,1,0.5,0.24
7,1,1,0.44
7,1,1.5,0.55
7,1,2,0.77
7,1,2.5,0.99
7,1,3,1.24
7,1,3.5,1.47
7,1,4,1.68
8,1,0,0
8,1,0.5,0.21
8,1,1,0.37
8,1,1.5,0.53
8,1,2,0.87
8,1,2.5,0.91
8,1,3,1.18
8,1,3.5,1.34
8,1,4,1.42
9,1,0,0
9,1,0.5,0.15
9,1,1,0.34
9,1,1.5,0.51
9,1,2,0.79
9,1,2.5,0.99
9,1,3,1.22
9,1,3.5,1.47
9,1,4,1.69
10,1,0,0
10,1,0.5,0.2
10,1,1,0.37
10,1,1.5,0.55
10,1,2,0.8
10,1,2.5,0.96
10,1,3,1.19
10,1,3.5,1.45
10,1,4,1.6
11,1,0,0
11,1,0.5,0.22
11,1,1,0.44
11,1,1.5,0.62
11,1,2,0.83
11,1,2.5,0.99
11,1,3,1.25
11,1,3.5,1.47
11,1,4,1.56
12,1,0,0
12,1,0.5,0.23
12,1,1,0.51
12,1,1.5,0.59
12,1,2,0.88
12,1,2.5,1.06
12,1,3,1.31
12,1,3.5,1.39
12,1,4,1.72
13,1,0,0
13,1,0.5,0.22
13,1,1,0.43
13,1,1.5,0.65
13,1,2,0.86
13,1,2.5,1.19
13,1,3,1.36
13,1,3.5,1.59
13,1,4,1.81
14,1,0,0
14,1,0.5,0.22
14,1,1,0.42
14,1,1.5,0.53
14,1,2,0.64
14,1,2.5,0.94
14,1,3,1.27
14,1,3.5,1.35
14,1,4,1.48
